google-link,username,Past Action,Time,Review
https://lh3.googleusercontent.com/a-/ALV-UjWIyPjByq2ksozdvz5_SdR8zYvdRhhMjwrQldI-8FFQdEuWIE3G=w36-h36-p-rp-mo-br100,Gayathiri Sivakumar,3 reviews · 5 photos,2 months ago,"I recently visited Suka Desert and tried a variety of their offerings. The pancake was exceptionally fluffy and enjoyable, while the vanilla 3-phase ice cream was delightful overall, though the melted chocolate phase was overly sweet for my …"
https://lh3.googleusercontent.com/a-/ALV-UjUPeZrhls5ywqZt9CQ_7kpBOD54Kss5P5CusE-KCrwlX8Z2Lfw=w36-h36-p-rp-mo-ba6-br100,Azam Kamal,"Local Guide · 205 reviews · 1,571 photos",2 months ago,"My review is simple because I love chocolate. Of course, it’s sweet—after all, that’s what chocolate is! …"
https://lh3.googleusercontent.com/a-/ALV-UjXh6FqgpYfmdCPetLMXu069LnqtRmGlTIJf9U05p9dg2622uZDviw=w36-h36-p-rp-mo-ba3-br100,Malihah Yusof,Local Guide · 30 reviews · 71 photos,3 months ago,Not sure why people are so hype about this. They sure have various dessert but the cakes taste just like the ones you'd get at regular bakery. They are pricey as claimed to be using premium ingredients. But i probably would not come back to …
https://lh3.googleusercontent.com/a-/ALV-UjW0r7gMvGVS3BCUSmbdy4mzlfSdJsEL1_9J9oU4Je5IABcT5umI=w36-h36-p-rp-mo-ba3-br100,Nurul Azida (Zida),Local Guide · 16 reviews · 58 photos,4 months ago,Love it! Cake in bowl definitely so delicious not so sweet just nice to eat. Croissant much better if the texture more crispy it would be great. The cafe surrounding look really nice and suitable to dine in.
https://lh3.googleusercontent.com/a-/ALV-UjVhbz11TIeUOx9qQwiPyOozuBIZWVKLRqJDdip5Z0ahnhjivqCa=w36-h36-p-rp-mo-ba2-br100,Najihah Pazaer,Local Guide · 5 reviews · 19 photos,2 months ago,"The queue always long, tapi laju! So u dont have to worry standing for so long outside. Less people dine in as most want to tapau desserts. so u can get in quicker. Strawberry so fresh and juicy. Please get that. Bought brownies nutella as well for birthday. Lovin it❤️"
https://lh3.googleusercontent.com/a-/ALV-UjXj1raaScjJI6RLB2qcPNJdshHZsVQkWLPUSQkGQDezQFQrQvP3=w36-h36-p-rp-mo-ba5-br100,Mar M,"Local Guide · 305 reviews · 1,327 photos",6 months ago,"29/09/2024

Overall experience is 3/5 …"
https://lh3.googleusercontent.com/a-/ALV-UjXxry964609tajj1dRnu8B8vlOo6Guf6gNNndGwItG3PSy5BLlH=w36-h36-p-rp-mo-ba4-br100,Ajiq Ziq,Local Guide · 46 reviews · 119 photos,5 months ago,"I might be a little bit high expectations to come here🥲.

But the dessert was still satisfying. The most I liked is the dark cookies in …"
https://lh3.googleusercontent.com/a-/ALV-UjXqqAoDX8v4PpvALVHBzxpYAfZFXOWAUP7gIRt8J54rouN4KEgQ7g=w36-h36-p-rp-mo-ba5-br100,Mohd Aminuddin Sukor,"Local Guide · 138 reviews · 1,008 photos",3 months ago,"visiting on 3rd Jan 2025, the atmosphere kinda cool with korean playlist. offers various kind of desserts. some of it worth to buy, some quite pricy to some people. the taste for creamy pasta and aglio olio  doesnt meet expectation, indomie …"
https://lh3.googleusercontent.com/a-/ALV-UjXlGQiCqEjMdvXqnKLCizacu_V9gVJb3Z2pN4zbQF2Ztny03Uin=w36-h36-p-rp-mo-br100,Norzaliza Md Nor,5 reviews · 3 photos,5 months ago,I like the vibes and atmosphere. food are delicious though i am not a sweet tooth type but i really enjoy eating the strawberry choc. The burnt cheese cake with choc topping is so scrumptious. keep it up!
https://lh3.googleusercontent.com/a/ACg8ocI4tuA8ElsDHNGIg29pDOpkAvGOB2GwmS5AQS7bxKWLwl2cai8=w36-h36-p-rp-mo-br100,Muzakkir Ahmad Zamri,10 reviews · 11 photos,3 weeks ago,"Followed my wife here, didnt know that it was so viral at the moment. Got into a long queue but managed to spend rm100+ on the dessert. Still worth it, very recomended 👍🏻 …"
https://lh3.googleusercontent.com/a/ACg8ocJHo-BQTK7nbpwDd3dGzCLKKZd7HxZY23fGiG6TXJM9GNP0Nw=w36-h36-p-rp-mo-ba3-br100,soo kinwah,Local Guide · 23 reviews · 37 photos,6 months ago,"Place for chocolate and sweet lover. The food is sweet. If there is a sweet scale of 5, i will give it 4. Pistacheese in a cup is not bad, thanks to the cheese taste. The strawberry in cup also not bad. Thanks to the sweetness and slightly …"
https://lh3.googleusercontent.com/a/ACg8ocKjsk6Y1sPCeSZ85T0aCy73jfymQM1chn_BilcpJMYOzEOnLA=w36-h36-p-rp-mo-br100,qila sulaiman,4 reviews · 3 photos,5 months ago,"Spent almost rm200 but the chocolate taste like a cheap chocolate. For the choc drinks that cost us rm22 really not worth it at all! I dont mind paying alot if the product is at par with what im paying. Unfortunately, its not. Choc taste …"
https://lh3.googleusercontent.com/a/ACg8ocJwbyu93SLUBDvw34M6pC5EPQzDGH9T07RLtBy8tASPh28J9mRS=w36-h36-p-rp-mo-ba3-br100,Siti Atikah Maturidi,Local Guide · 41 reviews · 89 photos,3 months ago,I went on weekdays and no lines……yeay tak payah beratur. All about chocolate and for me the price a bit pricey for some item and some of them reasonable as they used the expensive product. …
