username,Past Action,Time,Review,processed
Gayathiri Sivakumar,3 reviews · 5 photos,2 months ago,"I recently visited Suka Desert and tried a variety of their offerings. The pancake was exceptionally fluffy and enjoyable, while the vanilla 3-phase ice cream was delightful overall, though the melted chocolate phase was overly sweet for my …","['recently', 'visit', 'ska', 'desert', 'try', 'variety', 'offering', 'pancake', 'exceptionally', 'fluffy', 'enjoyable', 'vanilla', 'phase', 'ice', 'cream', 'delightful', 'overall', 'though', 'melted', 'chocolate', 'phase', 'overly', 'sweet', '…']"
Azam Kamal,"Local Guide · 205 reviews · 1,571 photos",2 months ago,"My review is simple because I love chocolate. Of course, it’s sweet—after all, that’s what chocolate is! …","['review', 'simple', 'love', 'chocolate', 'course', 'it', '’', 's', 'sweet—after', 'that', '’', 's', 'chocolate', '…']"
Malihah Yusof,Local Guide · 30 reviews · 71 photos,3 months ago,Not sure why people are so hype about this. They sure have various dessert but the cakes taste just like the ones you'd get at regular bakery. They are pricey as claimed to be using premium ingredients. But i probably would not come back to …,"['sure', 'people', 'hype', 'sure', 'various', 'dessert', 'cake', 'taste', 'like', 'one', 'would', 'get', 'regular', 'bakery', 'price', 'claim', 'use', 'premium', 'ingredient', 'probably', 'would', 'come', 'back', '…']"
Nurul Azida (Zida),Local Guide · 16 reviews · 58 photos,4 months ago,Love it! Cake in bowl definitely so delicious not so sweet just nice to eat. Croissant much better if the texture more crispy it would be great. The cafe surrounding look really nice and suitable to dine in.,"['love', 'cake', 'bowl', 'definitely', 'delicious', 'sweet', 'nice', 'eat', 'croissant', 'much', 'good', 'texture', 'crisp', 'would', 'great', 'cafe', 'surround', 'look', 'really', 'nice', 'suitable', 'dine']"
Najihah Pazaer,Local Guide · 5 reviews · 19 photos,2 months ago,"The queue always long, tapi laju! So u dont have to worry standing for so long outside. Less people dine in as most want to tapau desserts. so u can get in quicker. Strawberry so fresh and juicy. Please get that. Bought brownies nutella as well for birthday. Lovin it❤️","['queue', 'always', 'long', 'tape', 'lau', 'u', 'dont', 'worry', 'stand', 'long', 'outside', 'less', 'people', 'dine', 'want', 'japan', 'dessert', 'u', 'get', 'quick', 'strawberry', 'fresh', 'juicy', 'please', 'get', 'bought', 'brownish', 'novella', 'well', 'birthday', 'login']"
Mar M,"Local Guide · 305 reviews · 1,327 photos",6 months ago,"29/09/2024

Overall experience is 3/5 …","['overall', 'experience', '…']"
Ajiq Ziq,Local Guide · 46 reviews · 119 photos,5 months ago,"I might be a little bit high expectations to come here🥲.

But the dessert was still satisfying. The most I liked is the dark cookies in …","['might', 'little', 'bit', 'high', 'expectation', 'come', 'dessert', 'still', 'satisfy', 'like', 'dark', 'cooky', '…']"
Mohd Aminuddin Sukor,"Local Guide · 138 reviews · 1,008 photos",3 months ago,"visiting on 3rd Jan 2025, the atmosphere kinda cool with korean playlist. offers various kind of desserts. some of it worth to buy, some quite pricy to some people. the taste for creamy pasta and aglio olio  doesnt meet expectation, indomie …","['visit', 'rd', 'jan', 'atmosphere', 'kinda', 'cool', 'korean', 'playlist', 'offer', 'various', 'kind', 'dessert', 'worth', 'buy', 'quite', 'price', 'people', 'taste', 'creamy', 'pasta', 'also', 'lio', 'doesnt', 'meet', 'expectation', 'income', '…']"
Norzaliza Md Nor,5 reviews · 3 photos,5 months ago,I like the vibes and atmosphere. food are delicious though i am not a sweet tooth type but i really enjoy eating the strawberry choc. The burnt cheese cake with choc topping is so scrumptious. keep it up!,"['like', 'vibe', 'atmosphere', 'food', 'delicious', 'though', 'sweet', 'tooth', 'type', 'really', 'enjoy', 'eat', 'strawberry', 'hoc', 'burnt', 'cheese', 'cake', 'hoc', 'top', 'scrumptious', 'keep']"
Muzakkir Ahmad Zamri,10 reviews · 11 photos,3 weeks ago,"Followed my wife here, didnt know that it was so viral at the moment. Got into a long queue but managed to spend rm100+ on the dessert. Still worth it, very recomended 👍🏻 …","['follow', 'wife', 'didnt', 'know', 'viral', 'moment', 'get', 'long', 'queue', 'manage', 'spend', 'rm', 'dessert', 'still', 'worth', 'recommend', '…']"
soo kinwah,Local Guide · 23 reviews · 37 photos,6 months ago,"Place for chocolate and sweet lover. The food is sweet. If there is a sweet scale of 5, i will give it 4. Pistacheese in a cup is not bad, thanks to the cheese taste. The strawberry in cup also not bad. Thanks to the sweetness and slightly …","['place', 'chocolate', 'sweet', 'lover', 'food', 'sweet', 'sweet', 'scale', 'give', 'pistacheese', 'cup', 'bad', 'thanks', 'cheese', 'taste', 'strawberry', 'cup', 'also', 'bad', 'thanks', 'sweetness', 'slightly', '…']"
qila sulaiman,4 reviews · 3 photos,5 months ago,"Spent almost rm200 but the chocolate taste like a cheap chocolate. For the choc drinks that cost us rm22 really not worth it at all! I dont mind paying alot if the product is at par with what im paying. Unfortunately, its not. Choc taste …","['spent', 'almost', 'rm', 'chocolate', 'taste', 'like', 'cheap', 'chocolate', 'hoc', 'drink', 'cost', 'u', 'rm', 'really', 'worth', 'dont', 'mind', 'pay', 'alot', 'product', 'par', 'im', 'pay', 'unfortunately', 'hoc', 'taste', '…']"
Siti Atikah Maturidi,Local Guide · 41 reviews · 89 photos,3 months ago,I went on weekdays and no lines……yeay tak payah beratur. All about chocolate and for me the price a bit pricey for some item and some of them reasonable as they used the expensive product. …,"['go', 'weekday', 'lines……year', 'tak', 'pay', 'beratur', 'chocolate', 'price', 'bit', 'price', 'item', 'reasonable', 'use', 'expensive', 'product', '…']"
Maz Zalan,"Local Guide · 243 reviews · 1,157 photos",4 months ago,"Went here recently and had an okay experience. The queue took around 20-30++ minutes, but it depends on how fast the people inside make their selections. They don’t let the next group in until everyone in the current batch is done, so be …","['go', 'recently', 'okay', 'experience', 'queue', 'take', 'around', 'minute', 'depend', 'fast', 'people', 'inside', 'make', 'selection', 'don', '’', 't', 'let', 'next', 'group', 'everyone', 'current', 'batch', 'do', '…']"
Amira Azhar,6 reviews · 1 photo,2 weeks ago,"The que was decent, but I would not recommend you guys to take the desserts that lays in the glass. It was not as fresh, but the pancake and the cake bowl was amazing. Truly suka dessert's choclate base is something else and nothing compares. Just get the freshly made ones :)","['que', 'decent', 'would', 'recommend', 'guy', 'take', 'dessert', 'lay', 'glass', 'fresh', 'pancake', 'cake', 'bowl', 'amaze', 'truly', 'ska', 'dessert', 'chocolate', 'base', 'something', 'else', 'nothing', 'compare', 'get', 'freshly', 'make', 'one']"
Afiqah saiful anuar,Local Guide · 28 reviews · 67 photos,7 months ago,"Pros-
• Queue was long but it only took around 30 mins since it's a batch by batch system. …","['pro', '•', 'queue', 'long', 'take', 'around', 'min', 'since', 'batch', 'batch', 'system', '…']"
Hisyam Abdullah,5 reviews · 5 photos,7 months ago,"Pros: The desserts here are mostly good. Plenty of variety. If you're a chocolate lover, you'll have a hard time deciding what to get, so I'd recommend going to their insta and deciding beforehand what you'd like to get. …","['pro', 'dessert', 'mostly', 'good', 'plenty', 'variety', 'chocolate', 'lover', 'hard', 'time', 'decide', 'get', 'would', 'recommend', 'go', 'inst', 'decide', 'beforehand', 'would', 'like', 'get', '…']"
Ami,Local Guide · 16 reviews · 39 photos,10 months ago,"For those who are chocolate lovers..you need to go here. The price like ‘mahal sikit’ but you got premium chocolate, so worth it for the price. …","['chocolate', 'loversyou', 'need', 'go', 'price', 'like', '‘', 'medal', 'skit', '’', 'get', 'premium', 'chocolate', 'worth', 'price', '…']"
