Timestamp,Review,testing,processed
2025/02/10 7:40:54 pm GMT+8,"Im happy with uniten actually, even the people are W","['im', 'happy', 'unite', 'actually', 'even', 'people', 'w']","['im', 'happy', 'unite', 'actually', 'even', 'people', 'win']"
2025/02/10 7:41:00 pm GMT+8,"I’m having a pretty good time here, happy to meet all of the W people.","['i', '’', 'm', 'pretty', 'good', 'time', 'happy', 'meet', 'w', 'people']","['i', '’', 'm', 'pretty', 'good', 'time', 'happy', 'meet', 'win', 'people']"
2025/02/10 7:41:19 pm GMT+8,a very neutral place in terms of everything,"['neutral', 'place', 'term', 'everything']","['neutral', 'place', 'term', 'everything']"
2025/02/10 7:46:40 pm GMT+8,"I would say Uniten it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.","['would', 'say', 'united', 'good', 'university', 'issue', 'need', 'improve', 'transportationwifi', 'network', 'facility', 'well']","['would', 'say', 'united', 'good', 'university', 'issue', 'need', 'improve', 'transportationwifi', 'network', 'facility', 'well']"
2025/02/10 7:46:43 pm GMT+8," UNITEN is well-regarded, particularly for its strong engineering, computer science, and business programs. It has a solid reputation in Malaysia, especially in energy-related fields. The negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find.","['united', 'wellregarded', 'particularly', 'strong', 'engineering', 'computer', 'science', 'business', 'program', 'solid', 'reputation', 'malaysia', 'especially', 'energyrelated', 'field', 'negative', 'part', 'facility', 'swim', 'pool', 'close', 'since', 'first', 'year', 'till', 'year', 'limit', 'park', 'make', 'hard', 'find']","['united', 'wellregarded', 'particularly', 'strong', 'engineering', 'computer', 'science', 'business', 'program', 'solid', 'reputation', 'malaysia', 'especially', 'energyrelated', 'field', 'negative', 'part', 'facility', 'swim', 'pool', 'close', 'since', 'first', 'year', 'till', 'year', 'limit', 'park', 'make', 'hard', 'find']"
2025/02/10 7:50:23 pm GMT+8,Neutral - Because currently UNITEN has developed various new facilities for UNITEN students such as 24 hours emart... Personally for the negative side I would say that UNITEN needs to fix the broken toilet in the library and BM/BN buildings,"['neutral', 'currently', 'unite', 'develop', 'various', 'new', 'facility', 'united', 'student', 'hour', 'smart', 'personally', 'negative', 'side', 'would', 'say', 'united', 'need', 'fix', 'broken', 'toilet', 'library', 'building']","['neutral', 'currently', 'unite', 'develop', 'various', 'new', 'facility', 'united', 'student', 'hour', 'smart', 'personally', 'negative', 'side', 'would', 'say', 'united', 'need', 'fix', 'broken', 'toilet', 'library', 'building']"
2025/02/10 7:51:50 pm GMT+8,regret,['regret'],['regret']
2025/02/10 7:56:00 pm GMT+8,"In my opinion, UNITEN is not really a student-oriented university even though it is a private university. The facility is not in well-maintained condition and the flexibility of using the facilities is low. The number of students also low compared to other universities.","['opinion', 'unite', 'really', 'studentoriented', 'university', 'even', 'though', 'private', 'university', 'facility', 'wellmaintained', 'condition', 'flexibility', 'use', 'facility', 'low', 'number', 'student', 'also', 'low', 'compare', 'university']","['opinion', 'unite', 'really', 'studentoriented', 'university', 'even', 'though', 'private', 'university', 'facility', 'wellmaintained', 'condition', 'flexibility', 'use', 'facility', 'low', 'number', 'student', 'also', 'low', 'compare', 'university']"
2025/02/10 7:57:43 pm GMT+8,"UNITEN today is the shadow of its former self. What attracted me to UNITEN in the first place is not there anymore, e.g; our very own faculty building. The student dedicated website is terrible. I can name thousands of thousands website that is infinitely better. The hostel room application is ridiculous. The only pros that I could ever think of is the location of the campus that is situated near to major cities.","['united', 'today', 'shadow', 'former', 'self', 'attract', 'united', 'first', 'place', 'anymore', 'eg', 'faculty', 'building', 'student', 'dedicate', 'website', 'terrible', 'name', 'thousand', 'thousand', 'website', 'infinitely', 'good', 'hostel', 'room', 'application', 'ridiculous', 'pro', 'could', 'ever', 'think', 'location', 'campus', 'situate', 'near', 'major', 'city']","['united', 'today', 'shadow', 'former', 'self', 'attract', 'united', 'first', 'place', 'anymore', 'eg', 'faculty', 'building', 'student', 'dedicate', 'website', 'terrible', 'name', 'thousand', 'thousand', 'website', 'infinitely', 'good', 'hostel', 'room', 'application', 'ridiculous', 'pro', 'could', 'ever', 'think', 'location', 'campus', 'situate', 'near', 'major', 'city']"
2025/02/10 7:58:31 pm GMT+8,The great place and people that I will remember forever ,"['great', 'place', 'people', 'remember', 'forever']","['great', 'place', 'people', 'remember', 'forever']"
